stkcd_01,reptdt,repart,relation,trasub,direction,repttype,isam,pannrsm,repat,corebs,site,year,prvn_01,pftn_01,indusb_01,indcodeb_01,coname_cn_01,listplte,coname_cn,prvn_02,pftn_02,period
603766,2021-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,2000000.0,0.12270609400962107,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,2000000.0,0.12270609400962107,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,Negri M.-NegriG.,12,1.0,2.0,1.0,1881000.0,0.11540508141604862,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,NEMAK Exterior S.L.U,12,1.0,2.0,1.0,580000.0,0.03558476726279011,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,NEMAK Exterior S.L.U,12,1.0,2.0,1.0,1400000.0,0.08589426580673475,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,501095.85,0.03074375723896549,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,NEMAK Exterior S.L.U,12,1.0,2.0,1.0,556765.97,0.03415928872808893,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,Negri M.-NegriG.,12,1.0,2.0,1.0,380247.17,0.02332932249445618,05,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2021-12-31,关键管理人员,09,1.0,2.0,1.0,10616400.0,1.0,20,,,2021,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2022-12-31,重庆镁业科技股份有限公司,03,1.0,2.0,1.0,1439621.16,0.015721170145047307,01,,,2022,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2022-12-31,重庆亚庆机械制造有限公司,10,1.0,2.0,1.0,75044670.29,0.8195142325555056,01,,,2022,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2022-12-31,平顶山兆民实业有限公司,12,1.0,2.0,1.0,3063441.25,0.033453857486094744,01,,,2022,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2022-12-31,贵州航电科技有限公司,12,1.0,2.0,1.0,6149936.9,0.06715947714064219,01,,,2022,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2022-12-31,广州金言贸易有限公司,12,1.0,2.0,1.0,238370.59,0.4450012437863189,08,,,2022,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2022-12-31,广州宝言贸易有限公司,12,1.0,2.0,1.0,297292.16,0.554998756213681,08,,,2022,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
