stkcd,reptdt,ralatedpartyid,repart,relation,trasub,direction,repat,isam,principl,rigicy,cogicy,number,prvn,indusb,listplte,period
603766,2019-12-31,-1.0,黎柏荣,12,1.0,2.0,13,32500000.0,03,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,黎柏荣,12,1.0,2.0,13,32500000.0,03,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,黎柏荣,12,1.0,2.0,13,32500000.0,03,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,黎柏荣,12,1.0,2.0,13,32500000.0,03,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,黎柏荣,12,1.0,2.0,13,32500000.0,03,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,黎柏荣,12,1.0,2.0,13,32500000.0,03,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,黎柏荣,12,1.0,2.0,13,32500000.0,03,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,黎柏荣,12,1.0,2.0,13,32500000.0,03,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,07,24001928.59,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,07,24001928.59,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,07,24001928.59,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,07,24001928.59,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,07,24001928.59,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,07,24001928.59,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,07,24001928.59,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,07,24001928.59,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,07,234513.28,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,07,234513.28,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,07,234513.28,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,07,234513.28,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,07,234513.28,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,07,234513.28,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,07,234513.28,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,07,234513.28,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,07,1957527.75,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,07,1957527.75,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,07,1957527.75,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,07,1957527.75,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,07,1957527.75,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,07,1957527.75,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,07,1957527.75,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,07,1957527.75,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,07,289019.91,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
